This file was created by CODIAN@move
Mittwoch, 22. August 2007		22:17

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	500
No. of Steps:	501
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
88.30	64.80	24.70	767	543	774	1.00921
88.30	64.80	24.60	767	542	775	1.01107
88.30	64.80	24.50	768	539	781	1.01670
88.30	64.80	24.40	778	537	794	1.02048
88.30	64.80	24.30	788	547	789	1.00183
88.30	64.80	24.20	783	536	801	1.02239
88.30	64.80	24.10	794	538	809	1.01859
88.30	64.80	24.00	801	542	810	1.01107
88.30	64.80	23.90	805	539	818	1.01670
88.30	64.80	23.80	808	541	818	1.01294
88.30	64.80	23.70	815	544	821	1.00735
88.30	64.80	23.60	820	545	825	1.00550
88.30	64.80	23.50	819	542	828	1.01107
88.30	64.80	23.40	826	541	837	1.01294
88.30	64.80	23.30	835	540	847	1.01481
88.30	64.80	23.20	855	543	863	1.00921
88.30	64.80	23.10	854	543	862	1.00921
88.30	64.80	23.00	854	544	860	1.00735
88.30	64.80	22.90	852	540	865	1.01481
88.30	64.80	22.80	862	538	878	1.01859
88.30	64.80	22.70	870	540	883	1.01481
88.30	64.80	22.60	878	542	888	1.01107
88.30	64.80	22.50	879	543	887	1.00921
88.30	64.80	22.40	886	541	897	1.01294
88.30	64.80	22.30	896	549	894	0.99818
88.30	64.80	22.20	891	539	906	1.01670
88.30	64.80	22.10	908	542	918	1.01107
88.30	64.80	22.00	915	545	920	1.00550
88.30	64.80	21.90	920	545	925	1.00550
88.30	64.80	21.80	921	542	931	1.01107
88.30	64.80	21.70	928	539	943	1.01670
88.30	64.80	21.60	940	540	954	1.01481
88.30	64.80	21.50	966	540	980	1.01481
88.30	64.80	21.40	993	545	998	1.00550
88.30	64.80	21.30	991	543	1000	1.00921
88.30	64.80	21.20	995	543	1004	1.00921
88.30	64.80	21.10	991	544	998	1.00735
88.30	64.80	21.00	996	543	1005	1.00921
88.30	64.80	20.90	1015	541	1028	1.01294
88.30	64.80	20.80	1030	541	1043	1.01294
88.30	64.80	20.70	1037	542	1048	1.01107
88.30	64.80	20.60	1046	543	1056	1.00921
88.30	64.80	20.50	1060	544	1068	1.00735
88.30	64.80	20.40	1074	542	1086	1.01107
88.30	64.80	20.30	1082	540	1098	1.01481
88.30	64.80	20.20	1093	544	1101	1.00735
88.30	64.80	20.10	1114	539	1133	1.01670
88.30	64.80	20.00	1134	543	1144	1.00921
88.30	64.80	19.90	1152	544	1160	1.00735
88.30	64.80	19.80	1183	545	1190	1.00550
88.30	64.80	19.70	1216	548	1216	1.00000
88.30	64.80	19.60	1202	543	1213	1.00921
88.30	64.80	19.50	1230	541	1246	1.01294
88.30	64.80	19.40	1238	543	1249	1.00921
88.30	64.80	19.30	1250	545	1257	1.00550
88.30	64.80	19.20	1262	542	1276	1.01107
88.30	64.80	19.10	1295	543	1307	1.00921
88.30	64.80	19.00	1317	545	1324	1.00550
88.30	64.80	18.90	1338	545	1345	1.00550
88.30	64.80	18.80	1365	544	1375	1.00735
88.30	64.80	18.70	1408	541	1426	1.01294
