This file was created by CODIAN@move
Dienstag, 22. Juni 2010		21:38

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	1000
No. of Steps:	351
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
70.00	86.00	42.70	15190	21840000	15204	1.00092
70.00	86.00	42.60	11910	21920000	11877	0.99726
70.00	86.00	42.50	9110	21970000	9064	0.99499
70.00	86.00	42.40	6800	21970000	6766	0.99499
70.00	86.00	42.30	5120	21920000	5106	0.99726
70.00	86.00	42.19	3690	21940000	3677	0.99635
70.00	86.00	42.10	2710	21900000	2705	0.99817
70.00	86.00	41.99	1920	22000000	1908	0.99364
70.00	86.00	41.90	1370	21920000	1366	0.99726
70.00	86.00	41.79	960	21940000	956	0.99635
70.00	86.00	41.70	690	21610000	698	1.01157
70.00	86.00	41.60	490	21730000	493	1.00598
70.00	86.00	41.50	380	21820000	381	1.00183
70.00	86.00	41.39	280	21800000	281	1.00275
70.00	86.00	41.30	230	21970000	229	0.99499
70.00	86.00	41.19	180	21760000	181	1.00460
70.00	86.00	41.10	150	21800000	150	1.00275
70.00	86.00	40.99	130	21870000	130	0.99954
70.00	86.00	40.90	120	21820000	120	1.00183
70.00	86.00	40.79	110	21890000	110	0.99863
70.00	86.00	40.70	110	21790000	110	1.00321
70.00	86.00	40.60	100	21820000	100	1.00183
70.00	86.00	40.50	100	22120000	99	0.98825
70.00	86.00	40.40	100	22130000	99	0.98780
70.00	86.00	40.30	100	22460000	97	0.97329
70.00	86.00	40.20	100	22020000	99	0.99273
70.00	86.00	40.09	100	21560000	101	1.01391
70.00	86.00	40.00	90	21600000	91	1.01204
